sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
5.0688033,2.5358021,2.9638057,0.7805951
5.4974546,2.7694287,3.421473,0.7982225
6.142916,2.824496,4.613839,1.3159158
4.785252,3.3604586,1.1735096,0.17731528
4.9405327,3.255787,1.6128714,0.265173
4.933649,3.237452,1.6082412,0.18572968
4.8117795,3.1956322,1.4769142,0.3345777
6.589409,3.6350725,4.247969,1.2130796
4.7958727,3.2228403,1.3786474,0.18040675
5.481152,3.0212364,3.1067357,1.2024279
4.712496,3.0865736,1.4196051,0.17677133
5.9354215,2.4519465,4.8368874,1.6881052
6.813356,3.1893995,5.4287443,1.9340106
4.741652,3.0948224,1.4636852,0.15988478
4.692877,3.0489993,1.4413646,0.1738043
7.222455,2.9499137,6.543331,2.081159
6.163296,2.6803474,4.8909307,1.4818721
5.415633,3.9976828,1.4201279,0.2516289
6.072912,2.7194679,4.6477704,1.3829206
5.420908,2.962895,2.991527,0.7508222
5.896655,3.2858074,3.4660509,1.0981076
5.3382754,2.885365,2.9509137,0.7299323
5.486817,3.097633,2.9442403,0.8392701
5.138179,3.0034876,2.3903182,0.577389
5.6924114,3.2441936,3.0791438,0.7145386
7.3827586,2.8411844,7.0271335,2.2749355
6.0385613,2.6285908,4.757812,1.6148223
6.755189,3.2286742,5.3280916,2.2509027
5.8319745,3.1188002,3.5716531,1.034069
5.009703,3.3168766,1.642581,0.22285518
5.660177,2.823845,3.6580124,0.9489363
6.043309,3.2304888,3.8958898,1.5148693
5.688185,2.8859205,3.7482102,1.5660894
6.1837893,2.8608184,4.661232,1.4634905
5.2065706,2.9187543,2.6340423,0.5688001
7.155023,3.3575892,5.8994255,2.3773377
6.2136426,3.5114639,3.8284144,1.6400143
5.1707263,3.6347868,1.5101578,0.35116935
4.8555303,3.282636,1.4029361,0.18788117
6.255142,2.9431984,4.718661,1.6897652
5.0846553,3.139827,2.077335,0.47210753
6.417314,3.1836486,4.594945,1.2888702
6.3814564,2.72799,5.2078943,1.4447473
5.367773,3.1039963,2.665484,0.5939103
5.2666435,3.7555609,1.5163318,0.33992267
5.3788443,2.3924112,3.8210824,1.2335316
5.588816,3.2319243,2.9544244,0.9418023
5.2782416,3.9171019,1.2839667,0.23972692
6.7503967,3.0105371,5.6056128,2.1341019
5.4292264,3.2102654,2.6393135,0.6508374
7.0902185,2.7516842,6.593218,2.1283271
6.330012,2.9792058,4.8383017,1.8474032
6.506367,2.9368043,5.2193832,1.8781898
5.5346947,2.5367951,3.8930435,1.1840153
6.5107837,3.3480718,4.6385565,1.853865
7.009524,3.1312149,5.919458,2.1944451
5.6301727,3.368972,2.7773688,0.65233374
5.6434145,3.51406,2.5766602,0.5572274
5.6047273,2.929546,3.4671068,1.1992419
5.819863,2.7697334,4.0994444,1.2928778
4.9663744,3.342826,1.5223516,0.19204797
5.910797,2.916836,4.1165037,1.5951797
5.239468,2.9363847,2.6565754,0.5186531
5.1769657,3.3950331,1.8948133,0.5296301
6.4354186,3.0408955,4.975119,2.035454
5.719739,2.9861987,3.589964,1.1991394
6.5714216,2.8969393,5.4087057,1.9175977
5.0478234,3.0256293,2.1507344,0.3709974
5.942547,2.7754128,4.3183446,1.3072413
5.6560965,2.519551,4.143502,1.224879
4.950849,3.1011088,1.8816375,0.41230357
5.574514,3.8921351,1.8851331,0.42495742
6.6584086,3.1132247,5.177333,1.5344802
6.3069124,2.9774714,4.7718573,1.7238996
5.537441,3.9870772,1.6858879,0.40031186
7.121615,3.3927608,5.7728667,2.3020132
5.74476,2.3484216,4.5785537,1.3734322
5.888677,2.8252804,4.1613855,1.3708811
5.5333624,3.6642218,2.1364508,0.4145224
5.947276,2.5337117,4.7934093,1.9361482
4.981281,3.5237155,1.3246634,0.35867497
7.0153213,2.870767,6.24698,1.9197855
5.137076,2.6361706,2.9816508,0.9666177
5.971195,2.6907375,4.5260906,1.4802548
5.8473983,2.7756252,4.1484623,1.3355443
6.350423,2.9830484,4.8645587,1.8311296
6.4227633,3.1438723,4.6722374,1.3641759
5.808131,2.745654,4.097568,1.2312558
5.7373405,2.8755717,3.7969456,1.3015589
6.5573587,3.0125728,5.2173786,1.939778
5.770336,2.783331,3.9251575,0.96102756
4.9721594,3.3532662,1.5159037,0.19403209
5.078306,3.4226663,1.6106064,0.20384297
6.1848483,2.8815854,4.699561,1.7694999
6.3132057,3.3063645,4.2834945,1.5556818
6.972631,3.0318403,5.8873444,1.6388352
5.113134,2.3306901,3.3863869,1.0224711
5.8111424,2.858703,3.9991364,1.4835124
4.968911,3.3428023,1.5249791,0.19533142
6.942771,3.1618834,5.7724395,2.272656
4.922754,3.3749988,1.4010082,0.19134945
6.813267,3.1213458,5.6079507,2.3531153
6.7021937,2.9574125,5.6150746,2.2064905
4.747865,3.2091153,1.3132621,0.182369
